run_name,test_acc,test_weighted_f1_avg,test_unseen_matched_acc,test_unseen_matched_weighted_f1_avg,test_unseen_related_acc,test_unseen_related_weighted_f1_avg
none,94.44719471947195,0.9447509029413469,46.375,0.48862165498285537,18.930555555555557,0.23532657127570444
flip,93.63861386138613,0.9362486642875505,44.888888888888886,0.4994852620101546,19.430555555555557,0.23540850571625924
color_jitter,92.27722772277228,0.922872995851041,50.486111111111114,0.5460146753890317,22.569444444444443,0.2875055835524339
both,91.81518151815182,0.9186431741761971,48.34722222222222,0.5302877629596251,22.02777777777778,0.2772733645976708
