run_name,test_acc,test_weighted_f1_avg,test_unseen_matched_acc,test_unseen_matched_weighted_f1_avg,test_unseen_related_acc,test_unseen_related_weighted_f1_avg
none,93.56435643564356,0.9357117177980874,29.041666666666668,0.301969850670576,14.680555555555555,0.19683542661885486
flip,92.65676567656766,0.9262049863540852,32.55555555555556,0.32297340068439445,14.166666666666666,0.19243393807960096
both,90.37128712871286,0.9032113577618194,35.291666666666664,0.3960172166123711,16.84722222222222,0.21036766911728214
color_jitter,90.10726072607261,0.8999771204825888,33.05555555555556,0.33359293817925106,16.625,0.21313183826077722
