label,test_acc_delta,test_weighted_f1_avg_delta,test_unseen_matched_acc_delta,test_unseen_matched_weighted_f1_avg_delta,test_unseen_related_acc_delta,test_unseen_related_weighted_f1_avg_delta
object,+1.02,+0.0096,-2.11,-0.0538,+0.07,-0.0058
object_region,+0.75,+0.0084,+1.40,+0.0229,+1.26,+0.0215
